date,总srisk,ln（总srisk）,Δlnsrisk,工业增加值增长率,工业增加值增长率对数值,国债收益率之差,沪深300指数收益率,房屋出售面积增长率,AA级企业债与AAA级企业债收益率之差（一年期）
2008.2.29,3051.9,8.02351962646781,,15.4,1.18752072083646,0.9783,0.0114,-4.2,0.274
2008.3.31,2363.7,7.76798346691975,-0.255536159548059,17.8,1.25042000230889,1.046,-0.0326,-1.4,0.2729
2008.4.30,5890.3,8.68106220913463,0.91307874221488,15.7,1.19589965240923,1.0137,0.0482,-4.9,0.3
2008.5.30,15772.9,9.66604855651936,0.98498634738473,16,1.20411998265592,0.9915,0.0085,-7.2,0.3
2008.6.30,35903.5,10.4885900627604,0.822541506241039,16,1.20411998265592,1.2185,-0.0086,-7.2,0.3
2008.7.31,30220.9,10.3162890169849,-0.1723010457755,14.7,1.16731733474818,1.1165,-0.0274,-10.8,0.36
2008.8.29,28460.4,10.2562689263588,-0.0600200906261001,12.8,1.10720996964787,1.0573,0.0239,-14.7,0.43
2008.9.30,109524.2,11.603900808387,1.3476318820282,11.4,1.05690485133647,0.4944,0.0091,-14.9,0.56
2008.10.31,397147.4,12.892062775395,1.288161967008,8.2,0.913813852383717,0.6809,-0.02,-16.5,0.72
2008.11.28,141038.5,11.8567881817344,-1.0352745936606,5.4,0.732393759822969,1.3905,-0.0217,-18.3,0.8
2008.12.31,306394.1,12.6326274607885,0.7758392790541,5.7,0.755874855672491,1.8018,-0.0086,-19.7,0.8
2009.1.30,244482.1,12.4068973745831,-0.225730086205401,6.4,0.806179973983887,2.1271,-0.0058,-10,0.815
2009.2.27,179368.2,12.0971959553698,-0.309701419213299,11,1.04139268515823,2.2496,-0.0227,-0.3,0.815
2009.3.31,229501,12.3436626657717,0.246466710401899,8.3,0.919078092376074,2.3165,0.0094,8.2,0.815
2009.4.30,324331.8,12.6895223448424,0.345859679070701,7.3,0.863322860120456,2.2629,0.0067,17.5,0.765
2009.5.29,202892.4,12.2204310682371,-0.469091276605301,8.9,0.949390006644913,2.1914,0.0147,25.5,0.765
2009.6.30,63035.7,11.0514565115454,-1.1689745566917,10.7,1.02938377768521,2.3521,-0.0042,31.7,0.8
2009.7.31,59242.7,10.9893978446557,-0.0620586668896994,10.8,1.03342375548695,2.2333,0.0275,37.1,0.8
2009.8.31,216852.8,12.2869740613314,1.2975762166757,12.3,1.0899051114394,2.2003,-0.0711,42.9,0.8
2009.9.30,188140.1,12.1449421770449,-0.142031884286499,13.9,1.1430148002541,2.2232,0.0109,44.8,0.935
2009.10.30,96990.9,11.4823724386517,-0.6625697383932,16.1,1.20682587603185,2.3879,0.0103,48.4,0.935
2009.11.30,126497.9,11.7479809862214,0.2656085475697,19.2,1.28330122870355,2.3398,0.0382,53,0.935
2009.12.31,30285,10.318407819415,-1.4295731668064,18.5,1.26717172840301,2.4136,0.0047,42.1,0.935
2010.1.29,225285.5,12.3251237657163,2.0067159463013,17.9,1.25285303097989,2.3141,-0.0008,40,0.86
2010.2.26,231034.2,12.3503210304934,0.0251972647771002,12.8,1.10720996964787,2.0509,-0.0032,38.2,0.86
2010.3.31,201297.3,12.2125381987212,-0.137782831772201,18.1,1.25767857486918,2.2706,-0.0063,35.8,0.73
2010.4.30,169827.4,12.0425379061545,-0.1700002925667,17.8,1.25042000230889,2.0379,0.0024,32.8,0.7
2010.5.31,197831,12.1951684098544,0.1526305036999,16.5,1.21748394421391,1.534,-0.027,22.5,0.55
